dataset,total_classes,k,algorithm,seed,final_accuracy,epochs,training_time_s,timestamp,git_commit
cifar100-subset,50,1,ComCo-Fixed,42,8.18,500,12628.7,2026-08-15T15:50:37.441704,951d87e
cifar100-subset,50,2,ComCo-Fixed,42,5.86,500,12026.7,2026-08-15T19:11:04.820770,951d87e
cifar100-subset,50,3,ComCo-Fixed,42,5.22,500,12542.2,2026-08-15T22:40:08.294402,951d87e
cifar100-subset,50,5,ComCo-Fixed,42,5.34,500,12901.3,2026-08-16T02:15:10.375728,951d87e
cifar100-subset,50,12,ComCo-Fixed,42,4.74,500,12358.0,2026-08-16T05:41:09.136042,951d87e
cifar100-subset,50,25,ComCo-Fixed,42,6.18,500,13120.3,2026-08-16T09:19:50.183154,951d87e
cifar100-subset,10,1,PiCO,42,81.5,500,3800.8,2026-08-14T05:03:38.639677,2b04963
cifar100-subset,10,2,PiCO,42,81.4,500,3777.2,2026-08-14T06:06:36.146532,2b04963
cifar100-subset,10,3,PiCO,42,80.1,500,3791.6,2026-08-14T07:09:48.124199,2b04963
cifar100-subset,10,5,PiCO,42,76.0,500,3796.5,2026-08-14T08:13:04.943006,2b04963
cifar100-subset,10,8,PiCO,42,31.4,500,3794.1,2026-08-14T09:16:19.429294,2b04963
cifar100-subset,10,9,PiCO,42,17.6,500,3804.9,2026-08-14T10:19:44.638459,2b04963
cifar100-subset,20,1,PiCO,42,77.5,500,7952.1,2026-08-14T12:32:16.994722,2b04963
cifar100-subset,20,2,PiCO,42,78.3,500,8066.0,2026-08-14T14:46:43.624276,2b04963
cifar100-subset,20,3,PiCO,42,78.05,500,7958.1,2026-08-14T16:59:22.252188,2b04963
cifar100-subset,20,5,PiCO,42,77.1,500,8015.6,2026-08-14T19:12:58.433034,2b04963
cifar100-subset,20,10,PiCO,42,38.85,500,7949.9,2026-08-14T21:25:28.913554,2b04963
cifar100-subset,20,15,PiCO,42,21.85,500,8255.2,2026-08-14T23:43:04.625035,2cb3935
cifar100-subset,20,19,PiCO,42,7.3,500,4836.3,2026-08-15T15:25:09.519435,951d87e
cifar100-subset,50,1,PiCO,42,68.86,500,12308.6,2026-08-15T18:50:18.494528,951d87e
cifar100-subset,50,2,PiCO,42,68.72,500,13291.5,2026-08-15T22:31:50.734467,951d87e
cifar100-subset,50,3,PiCO,42,69.26,500,13435.8,2026-08-16T02:15:47.351804,951d87e
cifar100-subset,50,5,PiCO,42,69.18,500,12807.2,2026-08-16T05:49:15.398300,951d87e
cifar100-subset,50,12,PiCO,42,44.82,500,14267.3,2026-08-16T09:47:03.452683,951d87e
